"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_build_bm_aviation_sanctuary_disabled_Description"             "Spawns Air Creeps and unlocks the Hawk Scout. Air Creeps have moderate HP and damage. They are however, the only units in the game that can be upgraded with Evasion.\n<b><font color='#eedd44'>Requires:\n - The Stump</font></b>\n"


		"bm_heroes"                                                             			"Portal of Heroes"
		"DOTA_Tooltip_ability_build_bm_heroes"                        						"Portal of Heroes"
		"DOTA_Tooltip_ability_build_bm_heroes_Description"                  	    		"Allows you to spawn Heroes at a cost. Heroes have high HP and damage. They boast faster attack speeds than every other unit in the game and provide valuable auras that will help booster your army."
		"DOTA_Tooltip_ability_build_bm_heroes_build_time"                  		    		"<font color='#057aff'>BUILD TIME</font>:"
		"DOTA_Tooltip_ability_build_bm_heroes_gold_cost"                       	 			"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_build_bm_heroes_lumber_cost"                      			"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_build_bm_heroes_disabled"                         			"Portal of Heroes"
		"DOTA_Tooltip_ability_build_bm_heroes_disabled_Description"             			"Allows you to spawn Heroes at a cost. Heroes have high HP and damage. They boast faster attack speeds than every other unit in the game and provide valuable auras that will help booster your army.\n<b><font color='#eedd44'>Requires:\n - Tech Lab</font></b>\n"


		"bm_purifier"                                                             			"Purifier"
		"DOTA_Tooltip_ability_build_bm_purifier"                        					"Purifier"
		"DOTA_Tooltip_ability_build_bm_purifier_Description"                  	    		"Increases creep-kill gold earned by 25 percent. Can be upgraded to also increase lumber earned."
		"DOTA_Tooltip_ability_build_bm_purifier_build_time"                  		    	"<font color='#057aff'>BUILD TIME</font>:"
		"DOTA_Tooltip_ability_build_bm_purifier_gold_cost"                       	 		"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_build_bm_purifier_lumber_cost"                      			"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_build_bm_purifier_disabled"                         			"Purifier"
		"DOTA_Tooltip_ability_build_bm_purifier_disabled_Description"             			"Increases creep-kill gold earned by 25 percent. Can be upgraded to also increase lumber earned.\n<b><font color='#eedd44'>Requires:\n - Tech Lab</font></b>\n"


		"bm_library"                                                             			"Library of Spells"
		"DOTA_Tooltip_ability_build_bm_library"                        						"Library of Spells"
		"DOTA_Tooltip_ability_build_bm_library_Description"                  	    		"Unlocks the highest tiered abilities and enables the construction of Luminous Tower and Unpromising Tower. Has Assassinate ability. The Library of Spells is extremely fragile so it is highly susceptible to Techies raids. Keep it well protected."
		"DOTA_Tooltip_ability_build_bm_library_build_time"                  		    	"<font color='#057aff'>BUILD TIME</font>:"
		"DOTA_Tooltip_ability_build_bm_library_gold_cost"                       	 		"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_build_bm_library_lumber_cost"                      			"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_build_bm_library_disabled"                         			"Library of Spells"
		"DOTA_Tooltip_ability_build_bm_library_disabled_Description"             			"Unlocks the highest tiered abilities and enables the construction of Luminous Tower and Unpromising Tower. The Library of Spells is extremely fragile so it is highly susceptible to Techies raids. Keep it well protected.\n<b><font color='#eedd44'>Requires:\n - Tech Lab</font></b>"


		"bm_unpromising"                                                             		"Unpromising Tower"
		"DOTA_Tooltip_ability_build_bm_unpromising"                        					"Unpromising Tower"
		"DOTA_Tooltip_ability_build_bm_unpromising_Description"                  	    	"Enables the usage of spells of evil and chaos. All spells have global range. You may only build the Unpromising Tower or the Luminous Tower. Which side will you choose?"
		"DOTA_Tooltip_ability_build_bm_unpromising_build_time"                  		    "<font color='#057aff'>BUILD TIME</font>:"
		"DOTA_Tooltip_ability_build_bm_unpromising_gold_cost"                       	 	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_build_bm_unpromising_lumber_cost"                      		"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_build_bm_unpromising_disabled"                         		"Unpromising Tower"
		"DOTA_Tooltip_ability_build_bm_unpromising_disabled_Description"             		"Enables the usage of spells evil and chaotic. All spells have global range. You may only build the Unpromising Tower or the Luminous Tower. Which side will you choose?\n<b><font color='#eedd44'>Requires:\n - Library of Spells</font></b>"


		"bm_luminous"                                                             			"Luminous Tower"
		"DOTA_Tooltip_ability_build_bm_luminous"                        					"Luminous Tower"
		"DOTA_Tooltip_ability_build_bm_luminous_Description"                  	    		"Enables the usage of spells pure and orderly. All spells have global range. You may only build the Luminous Tower or the Unpromising Tower. Which side will you choose?"
		"DOTA_Tooltip_ability_build_bm_luminous_build_time"                  		    	"<font color='#057aff'>BUILD TIME</font>:"
		"DOTA_Tooltip_ability_build_bm_luminous_gold_cost"                       	 		"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_build_bm_luminous_lumber_cost"                      			"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_build_bm_luminous_disabled"                         			"Luminous Tower"
		"DOTA_Tooltip_ability_build_bm_luminous_disabled_Description"             			"Enables the usage of spells pure and orderly. All spells have global range. You may only build the Luminous Tower or the Unpromising Tower. Which side will you choose?\n<b><font color='#eedd44'>Requires:\n - Library of Spells</font></b>\n"


		//-------------------
		//Abilities
		//-------------------

		//Skeleton Damage
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_bm_skeleton_damage"                                           "Damage Bonus"
		"DOTA_Tooltip_ability_bm_skeleton_damage_Description"                               "Grands additional damage"
		"DOTA_Tooltip_ability_bm_skeleton_damage_damage_bonus"    							"DAMAGE BONUS:"	

		"DOTA_Tooltip_ability_bm_skeleton_damage_disabled"                                  "Damage Bonus"
		"DOTA_Tooltip_ability_bm_skeleton_damage_Description"                               "Grants additional damage"

		"DOTA_Tooltip_modifier_skeleton_damage_bonus"                                       "Damage Bonus"
		"DOTA_Tooltip_modifier_skeleton_damage_bonus_Description"                           ""

		"DOTA_Tooltip_ability_research_bm_skeleton_damage"                                  "Upgrade Skeleton Damage"
		"DOTA_Tooltip_ability_research_bm_skeleton_damage_Description"                      "Increases damage of skeleton creeps"
		"DOTA_Tooltip_ability_research_bm_skeleton_damage_damage_bonus"                     "DAMAGE BONUS:"
		"DOTA_Tooltip_ability_research_bm_skeleton_damage_research_time"                    "<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_bm_skeleton_damage_gold_cost"                        "<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_bm_skeleton_damage_lumber_cost"                      "<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_item_research_bm_skeleton_damage"                             "Cancel Upgrade"
		"DOTA_Tooltip_ability_item_research_bm_skeleton_damage_Description"             	""


		//Melee Armor
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_bm_melee_armor"                                           	"Armor Bonus"
		"DOTA_Tooltip_ability_bm_melee_armor_Description"                               	"Grands additional armor"
		"DOTA_Tooltip_ability_bm_melee_armor_armor_bonus"    								"ARMOR BONUS:"		

		"DOTA_Tooltip_ability_bm_melee_armor_disabled"                                      "Armor Bonus"
		"DOTA_Tooltip_ability_bm_melee_armor_Description"                               	"Grands additional armor"

		"DOTA_Tooltip_modifier_melee_armor_bonus"                                         	"Armor Bonus"
		"DOTA_Tooltip_modifier_melee_armor_bonus_Description"                             	""

		"DOTA_Tooltip_ability_research_bm_melee_armor"                                    	"Upgrade Melee Armor"
		"DOTA_Tooltip_ability_research_bm_melee_armor_Description"                        	"Increases armor of melee creeps"
		"DOTA_Tooltip_ability_research_bm_melee_armor_armor_bonus"    						"ARMOR BONUS:"
		"DOTA_Tooltip_ability_research_bm_melee_armor_research_time"                        "<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_bm_melee_armor_gold_cost"                          	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_bm_melee_armor_lumber_cost"                        	"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_item_research_bm_melee_armor"                               	"Cancel Upgrade"
		"DOTA_Tooltip_ability_item_research_bm_melee_armor_Description"                   	""


		//Melee Damage
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_bm_melee_damage"                                           	"Damage Bonus"
		"DOTA_Tooltip_ability_bm_melee_damage_Description"                               	"Grands additional damage"
		"DOTA_Tooltip_ability_bm_melee_damage_damage_bonus"    								"DAMAGE BONUS:"	

		"DOTA_Tooltip_ability_bm_melee_damage_disabled"                                     "Damage Bonus"
		"DOTA_Tooltip_ability_bm_melee_damage_Description"                               	"Grants additional damage"

		"DOTA_Tooltip_modifier_melee_damage_bonus"                                         	"Damage Bonus"
		"DOTA_Tooltip_modifier_melee_damage_bonus_Description"                             	""

		"DOTA_Tooltip_ability_research_bm_melee_damage"                                    	"Upgrade Melee Damage"
		"DOTA_Tooltip_ability_research_bm_melee_damage_Description"                        	"Increases damage of melee creeps"
		"DOTA_Tooltip_ability_research_bm_melee_damage_damage_bonus"                       	"DAMAGE BONUS:"
		"DOTA_Tooltip_ability_research_bm_melee_damage_research_time"                       "<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_bm_melee_damage_gold_cost"                          	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_bm_melee_damage_lumber_cost"                        	"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_item_research_bm_melee_damage"                               	"Cancel Upgrade"
		"DOTA_Tooltip_ability_item_research_bm_melee_damage_Description"                   	""


		//Melee Health
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_bm_melee_hp"                                          	 	"Health Vial"
		"DOTA_Tooltip_ability_bm_melee_hp_Description"                         		      	"Grands additional health"
		"DOTA_Tooltip_ability_bm_melee_hp_health_bonus"    									"HEALTH BONUS:"	

		"DOTA_Tooltip_ability_bm_melee_hp_disabled"                           	     	    "Health Vial"
		"DOTA_Tooltip_ability_bm_melee_hp_Description"                        		       	"Grants additional health."

		"DOTA_Tooltip_modifier_melee_health_bonus"                                         	"Health Bonus"
		"DOTA_Tooltip_modifier_melee_health_bonus_Description"                             	""

		"DOTA_Tooltip_ability_research_bm_melee_hp"                                    		"Research Health Vial"
		"DOTA_Tooltip_ability_research_bm_melee_hp_Description"                        		"Increases health of melee creeps."
		"DOTA_Tooltip_ability_research_bm_melee_hp_health_bonus"                       		"HEALTH BONUS:"
		"DOTA_Tooltip_ability_research_bm_melee_hp_research_time"                       	"<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_bm_melee_hp_gold_cost"                          		"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_bm_melee_hp_lumber_cost"                        		"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_research_bm_melee_hp_disabled"                         		"Research Health Vial"	
		"DOTA_Tooltip_ability_research_bm_melee_hp_disabled_Description"             		"Increases health of melee creeps.\n<b><font color='#eedd44'>Requires:\n - Tech Lab</font></b>\n"

		"DOTA_Tooltip_ability_item_research_bm_melee_hp"                               		"Cancel Research"
		"DOTA_Tooltip_ability_item_research_bm_melee_hp_Description"                   		""



		//Melee Special: Bashlord
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_bm_melee_special"                                           	"Bashlord"
		"DOTA_Tooltip_ability_bm_melee_special_Description"                               	"Increases attack speed and grants each attack a chance to stun the target."
		"DOTA_Tooltip_ability_bm_melee_special_bonus_attack_speed"                        	"ATTACK SPEED BONUS:"
		"DOTA_Tooltip_ability_bm_melee_special_bash_chance"                               	"BASH CHANCE:"
		"DOTA_Tooltip_ability_bm_melee_special_bash_duration"                             	"BASH DURATION:"

		"DOTA_Tooltip_ability_bm_melee_special_disabled"                                  	"Bashlord"
		"DOTA_Tooltip_ability_bm_melee_special_disabled_Description"                      	"Increases attack speed and grants each attack a chance to stun the target."

		"DOTA_Tooltip_modifier_bm_melee_special_bash"                                     	"Bashloard"
		"DOTA_Tooltip_modifier_bm_melee_special_bash_Description"                         	"Unit is stunned."

		"DOTA_Tooltip_ability_research_bm_melee_special"                                  	"Research Bashlord"
		"DOTA_Tooltip_ability_research_bm_melee_special_Description"                      	"Increases attack speed and grants each attack a chance to stun the target. Turn your Melee Creep into a Bashlord by giving it this ability. Even towers can be bashed!"
		"DOTA_Tooltip_ability_research_bm_melee_special_bonus_attack_speed"					"ATTACK SPEED BONUS:"
		"DOTA_Tooltip_ability_research_bm_melee_special_bash_chance"						"BASH CHANCE:"
		"DOTA_Tooltip_ability_research_bm_melee_special_bash_duration"						"BASH DURATION:"	
		"DOTA_Tooltip_ability_research_bm_melee_special_research_time"                    	"<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_bm_melee_special_gold_cost"                        	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_bm_melee_special_lumber_cost"                      	"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_research_bm_melee_special_disabled"                         	"Research Bashlord"
		"DOTA_Tooltip_ability_research_bm_melee_special_disabled_Description"             	"Increases attack speed and grants each attack a chance to stun the target. Turn your Melee Creep into a Bashlord by giving it this ability. Even towers can be bashed!\n<b><font color='#eedd44'>Requires:\n - Library of Spells</font></b>\n"

		"DOTA_Tooltip_ability_item_research_bm_melee_special"                             	"Cancel Research"
		"DOTA_Tooltip_ability_item_research_bm_melee_special_Description"                 	""


		//Ranged Armor
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_bm_ranged_armor"                                           	"Armor Bonus"
		"DOTA_Tooltip_ability_bm_ranged_armor_Description"                               	"Grants additional armor"
		"DOTA_Tooltip_ability_bm_ranged_armor_armor_bonus"    								"ARMOR BONUS:"

		"DOTA_Tooltip_ability_bm_ranged_armor_disabled"                                     "Armor Bonus"
		"DOTA_Tooltip_ability_bm_ranged_armor_Description"                               	"Grants additional armor"

		"DOTA_Tooltip_modifier_ranged_armor_bonus"                                         	"Armor Bonus"
		"DOTA_Tooltip_modifier_ranged_armor_bonus_Description"                             	""

		"DOTA_Tooltip_ability_research_bm_ranged_armor"                                    	"Upgrade Ranged Armor"
		"DOTA_Tooltip_ability_research_bm_ranged_armor_Description"                        	"Increases armor of ranged creeps"
		"DOTA_Tooltip_ability_research_bm_ranged_armor_armor_bonus"    						"ARMOR BONUS:"
		"DOTA_Tooltip_ability_research_bm_ranged_armor_research_time"                       "<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_bm_ranged_armor_gold_cost"                          	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_bm_ranged_armor_lumber_cost"                        	"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_item_research_bm_ranged_armor"                               	"Cancel Upgrade"
		"DOTA_Tooltip_ability_item_research_bm_ranged_armor_Description"                   	""


		//Ranged Damage
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_bm_ranged_damage"                                           	"Damage Bonus"
		"DOTA_Tooltip_ability_bm_ranged_damage_Description"                               	"Grants additional damage"
		"DOTA_Tooltip_ability_bm_ranged_damage_damage_bonus"    							"DAMAGE BONUS:"	

		"DOTA_Tooltip_ability_bm_ranged_damage_disabled"                                    "Damage Bonus"
		"DOTA_Tooltip_ability_bm_ranged_damage_Description"                               	"Grants additional damage."

		"DOTA_Tooltip_modifier_ranged_damage_bonus"                                         "Damage Bonus"
		"DOTA_Tooltip_modifier_ranged_damage_bonus_Description"                             ""

		"DOTA_Tooltip_ability_research_bm_ranged_damage"                                    "Upgrade Ranged Damage"
		"DOTA_Tooltip_ability_research_bm_ranged_damage_Description"                        "Increases damage of ranged creeps"
		"DOTA_Tooltip_ability_research_bm_ranged_damage_damage_bonus"    					"DAMAGE BONUS:"
		"DOTA_Tooltip_ability_research_bm_ranged_damage_research_time"                      "<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_bm_ranged_damage_gold_cost"                          "<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_bm_ranged_damage_lumber_cost"                        "<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_item_research_bm_ranged_damage"                               "Cancel Upgrade"
		"DOTA_Tooltip_ability_item_research_bm_ranged_damage_Description"                   ""


		//Ranged Health
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_bm_ranged_hp"                                          	 	"Health Vial"
		"DOTA_Tooltip_ability_bm_ranged_hp_Description"                         		    "Grands additional health"
		"DOTA_Tooltip_ability_bm_ranged_hp_health_bonus"    								"HEALTH BONUS:"	

		"DOTA_Tooltip_ability_bm_ranged_hp_disabled"                           	     	    "Health Vial"
		"DOTA_Tooltip_ability_bm_ranged_hp_Description"                        		       	"Grants additional health"

		"DOTA_Tooltip_modifier_ranged_health_bonus"                                         "Health Bonus"
		"DOTA_Tooltip_modifier_ranged_health_bonus_Description"                             ""

		"DOTA_Tooltip_ability_research_bm_ranged_hp"                                    	"Research Health Vial"
		"DOTA_Tooltip_ability_research_bm_ranged_hp_Description"                        	"Increases health of ranged creeps."
		"DOTA_Tooltip_ability_research_bm_ranged_hp_health_bonus"                       	"HEALTH BONUS:"
		"DOTA_Tooltip_ability_research_bm_ranged_hp_research_time"                       	"<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_bm_ranged_hp_gold_cost"                          	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_bm_ranged_hp_lumber_cost"                        	"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_research_bm_ranged_hp_disabled"                         		"Research Health Vial"
		"DOTA_Tooltip_ability_research_bm_ranged_hp_disabled_Description"             		"Increases health of ranged creeps.\n<b><font color='#eedd44'>Requires:\n - Tech Lab</font></b>\n"

		"DOTA_Tooltip_ability_item_research_bm_ranged_hp"                               	"Cancel Research"
		"DOTA_Tooltip_ability_item_research_bm_ranged_hp_Description"                   	""



		//Ranged Special: Corrupted Blade
		//-------------------------------------------------------------
		"DOTA_Tooltip_modifier_bm_ranged_special_corruption"                              	"Corrupted Blade"
		"DOTA_Tooltip_modifier_bm_ranged_special_corruption_Description"                  	"Losing armor from corruption"

		"DOTA_Tooltip_ability_bm_ranged_special"                                          	"Corrupted Blade"
		"DOTA_Tooltip_ability_bm_ranged_special_Description"                              	"Grants bonus damage and reduces your target's armor. The Corruption debuff works against buildings as well."
		"DOTA_Tooltip_ability_bm_ranged_special_bonus_damage"                             	"BONUS DAMAGE:"
		"DOTA_Tooltip_ability_bm_ranged_special_corruption_armor"                         	"ARMOR REDUCTION:"

		"DOTA_Tooltip_ability_bm_ranged_special_disabled"                                 	"Corrupted Blade"
		"DOTA_Tooltip_ability_bm_ranged_special_disabled_Description"                     	"Grants bonus damage and reduces your target's armor."

